sk_date,full_date,year_month,year_quarter,month_sort_key,day_num,day_name,week_num,month_num,month_name,quarter_num,semester_num,year_num,is_weekend,is_holiday,country_code
54,2024-02-23,2024-02,2024-Q1,202402,23,Friday,8,2,February,1,1,2024,0,0,FR
55,2024-02-24,2024-02,2024-Q1,202402,24,Saturday,8,2,February,1,1,2024,1,0,FR
56,2024-02-25,2024-02,2024-Q1,202402,25,Sunday,8,2,February,1,1,2024,1,0,FR
57,2024-02-26,2024-02,2024-Q1,202402,26,Monday,9,2,February,1,1,2024,0,0,FR
58,2024-02-27,2024-02,2024-Q1,202402,27,Tuesday,9,2,February,1,1,2024,0,0,FR
59,2024-02-28,2024-02,2024-Q1,202402,28,Wednesday,9,2,February,1,1,2024,0,0,FR
60,2024-02-29,2024-02,2024-Q1,202402,29,Thursday,9,2,February,1,1,2024,0,0,FR
61,2024-03-01,2024-03,2024-Q1,202403,1,Friday,9,3,March,1,1,2024,0,0,FR
62,2024-03-02,2024-03,2024-Q1,202403,2,Saturday,9,3,March,1,1,2024,1,0,FR
63,2024-03-03,2024-03,2024-Q1,202403,3,Sunday,9,3,March,1,1,2024,1,0,FR
64,2024-03-04,2024-03,2024-Q1,202403,4,Monday,10,3,March,1,1,2024,0,0,FR
65,2024-03-05,2024-03,2024-Q1,202403,5,Tuesday,10,3,March,1,1,2024,0,0,FR
66,2024-03-06,2024-03,2024-Q1,202403,6,Wednesday,10,3,March,1,1,2024,0,0,FR
67,2024-03-07,2024-03,2024-Q1,202403,7,Thursday,10,3,March,1,1,2024,0,0,FR
68,2024-03-08,2024-03,2024-Q1,202403,8,Friday,10,3,March,1,1,2024,0,0,FR
69,2024-03-09,2024-03,2024-Q1,202403,9,Saturday,10,3,March,1,1,2024,1,0,FR
70,2024-03-10,2024-03,2024-Q1,202403,10,Sunday,10,3,March,1,1,2024,1,0,FR
71,2024-03-11,2024-03,2024-Q1,202403,11,Monday,11,3,March,1,1,2024,0,0,FR
72,2024-03-12,2024-03,2024-Q1,202403,12,Tuesday,11,3,March,1,1,2024,0,0,FR
73,2024-03-13,2024-03,2024-Q1,202403,13,Wednesday,11,3,March,1,1,2024,0,0,FR
74,2024-03-14,2024-03,2024-Q1,202403,14,Thursday,11,3,March,1,1,2024,0,0,FR
75,2024-03-15,2024-03,2024-Q1,202403,15,Friday,11,3,March,1,1,2024,0,0,FR
76,2024-03-16,2024-03,2024-Q1,202403,16,Saturday,11,3,March,1,1,2024,1,0,FR
77,2024-03-17,2024-03,2024-Q1,202403,17,Sunday,11,3,March,1,1,2024,1,0,FR
78,2024-03-18,2024-03,2024-Q1,202403,18,Monday,12,3,March,1,1,2024,0,0,FR
79,2024-03-19,2024-03,2024-Q1,202403,19,Tuesday,12,3,March,1,1,2024,0,0,FR
80,2024-03-20,2024-03,2024-Q1,202403,20,Wednesday,12,3,March,1,1,2024,0,0,FR
81,2024-03-21,2024-03,2024-Q1,202403,21,Thursday,12,3,March,1,1,2024,0,0,FR
82,2024-03-22,2024-03,2024-Q1,202403,22,Friday,12,3,March,1,1,2024,0,0,FR
83,2024-03-23,2024-03,2024-Q1,202403,23,Saturday,12,3,March,1,1,2024,1,0,FR
84,2024-03-24,2024-03,2024-Q1,202403,24,Sunday,12,3,March,1,1,2024,1,0,FR
85,2024-03-25,2024-03,2024-Q1,202403,25,Monday,13,3,March,1,1,2024,0,0,FR
86,2024-03-26,2024-03,2024-Q1,202403,26,Tuesday,13,3,March,1,1,2024,0,0,FR
87,2024-03-27,2024-03,2024-Q1,202403,27,Wednesday,13,3,March,1,1,2024,0,0,FR
88,2024-03-28,2024-03,2024-Q1,202403,28,Thursday,13,3,March,1,1,2024,0,0,FR
89,2024-03-29,2024-03,2024-Q1,202403,29,Friday,13,3,March,1,1,2024,0,0,FR
90,2024-03-30,2024-03,2024-Q1,202403,30,Saturday,13,3,March,1,1,2024,1,0,FR
91,2024-03-31,2024-03,2024-Q1,202403,31,Sunday,13,3,March,1,1,2024,1,0,FR
92,2024-04-01,2024-04,2024-Q2,202404,1,Monday,14,4,April,2,1,2024,0,1,FR
93,2024-04-02,2024-04,2024-Q2,202404,2,Tuesday,14,4,April,2,1,2024,0,0,FR
94,2024-04-03,2024-04,2024-Q2,202404,3,Wednesday,14,4,April,2,1,2024,0,0,FR
95,2024-04-04,2024-04,2024-Q2,202404,4,Thursday,14,4,April,2,1,2024,0,0,FR
96,2024-04-05,2024-04,2024-Q2,202404,5,Friday,14,4,April,2,1,2024,0,0,FR
97,2024-04-06,2024-04,2024-Q2,202404,6,Saturday,14,4,April,2,1,2024,1,0,FR
98,2024-04-07,2024-04,2024-Q2,202404,7,Sunday,14,4,April,2,1,2024,1,0,FR
99,2024-04-08,2024-04,2024-Q2,202404,8,Monday,15,4,April,2,1,2024,0,0,FR
100,2024-04-09,2024-04,2024-Q2,202404,9,Tuesday,15,4,April,2,1,2024,0,0,FR
101,2024-04-10,2024-04,2024-Q2,202404,10,Wednesday,15,4,April,2,1,2024,0,0,FR
102,2024-04-11,2024-04,2024-Q2,202404,11,Thursday,15,4,April,2,1,2024,0,0,FR
103,2024-04-12,2024-04,2024-Q2,202404,12,Friday,15,4,April,2,1,2024,0,0,FR
104,2024-04-13,2024-04,2024-Q2,202404,13,Saturday,15,4,April,2,1,2024,1,0,FR
105,2024-04-14,2024-04,2024-Q2,202404,14,Sunday,15,4,April,2,1,2024,1,0,FR
106,2024-04-15,2024-04,2024-Q2,202404,15,Monday,16,4,April,2,1,2024,0,0,FR
107,2024-04-16,2024-04,2024-Q2,202404,16,Tuesday,16,4,April,2,1,2024,0,0,FR
108,2024-04-17,2024-04,2024-Q2,202404,17,Wednesday,16,4,April,2,1,2024,0,0,FR
109,2024-04-18,2024-04,2024-Q2,202404,18,Thursday,16,4,April,2,1,2024,0,0,FR
110,2024-04-19,2024-04,2024-Q2,202404,19,Friday,16,4,April,2,1,2024,0,0,FR
111,2024-04-20,2024-04,2024-Q2,202404,20,Saturday,16,4,April,2,1,2024,1,0,FR
112,2024-04-21,2024-04,2024-Q2,202404,21,Sunday,16,4,April,2,1,2024,1,0,FR
113,2024-04-22,2024-04,2024-Q2,202404,22,Monday,17,4,April,2,1,2024,0,0,FR
114,2024-04-23,2024-04,2024-Q2,202404,23,Tuesday,17,4,April,2,1,2024,0,0,FR
115,2024-04-24,2024-04,2024-Q2,202404,24,Wednesday,17,4,April,2,1,2024,0,0,FR
116,2024-04-25,2024-04,2024-Q2,202404,25,Thursday,17,4,April,2,1,2024,0,0,FR
117,2024-04-26,2024-04,2024-Q2,202404,26,Friday,17,4,April,2,1,2024,0,0,FR
118,2024-04-27,2024-04,2024-Q2,202404,27,Saturday,17,4,April,2,1,2024,1,0,FR
119,2024-04-28,2024-04,2024-Q2,202404,28,Sunday,17,4,April,2,1,2024,1,0,FR
120,2024-04-29,2024-04,2024-Q2,202404,29,Monday,18,4,April,2,1,2024,0,0,FR
121,2024-04-30,2024-04,2024-Q2,202404,30,Tuesday,18,4,April,2,1,2024,0,0,FR
122,2024-05-01,2024-05,2024-Q2,202405,1,Wednesday,18,5,May,2,1,2024,0,1,FR
123,2024-05-02,2024-05,2024-Q2,202405,2,Thursday,18,5,May,2,1,2024,0,0,FR
124,2024-05-03,2024-05,2024-Q2,202405,3,Friday,18,5,May,2,1,2024,0,0,FR
125,2024-05-04,2024-05,2024-Q2,202405,4,Saturday,18,5,May,2,1,2024,1,0,FR
126,2024-05-05,2024-05,2024-Q2,202405,5,Sunday,18,5,May,2,1,2024,1,0,FR
127,2024-05-06,2024-05,2024-Q2,202405,6,Monday,19,5,May,2,1,2024,0,0,FR
128,2024-05-07,2024-05,2024-Q2,202405,7,Tuesday,19,5,May,2,1,2024,0,0,FR
129,2024-05-08,2024-05,2024-Q2,202405,8,Wednesday,19,5,May,2,1,2024,0,1,FR
130,2024-05-09,2024-05,2024-Q2,202405,9,Thursday,19,5,May,2,1,2024,0,1,FR
131,2024-05-10,2024-05,2024-Q2,202405,10,Friday,19,5,May,2,1,2024,0,0,FR
132,2024-05-11,2024-05,2024-Q2,202405,11,Saturday,19,5,May,2,1,2024,1,0,FR
133,2024-05-12,2024-05,2024-Q2,202405,12,Sunday,19,5,May,2,1,2024,1,0,FR
